ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Altitude;Longitude;Latitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code)
07481;2015-04-09T08:00:00+02:00;102840;20.0;0;150;2.8;279.35;273.85;68;18020.0;0;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;;0;;;;;99880.0;;;-420.0;277.55;;287.45;;;;;4.0;4.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;0;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;6.2000000000000455;4.400000000000034;;14.300000000000011;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-04-11T23:00:00+02:00;102830;180.0;1;20;0.6;285.45;278.85;64;50000.0;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;25.0;0;;30;20;11;99940.0;;;440.0;;;;;;;;1.3;2.9;-10.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.4;;;;;2.0;0;8000.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1;12.300000000000011;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-01-09T01:00:00+01:00;104010;130.0;3;160;2.7;279.45;276.25;80;15000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;6;;35;20;12;101020.0;;;550.0;;;;;;;;4.0;5.5;-10.0;1;0.0;;;0.0;-0.1;-0.1;-0.1;-0.1;;;;;6.0;6;1800.0;7.0;0;8000.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;6.300000000000011;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-01-15T13:00:00+01:00;101240;-240.0;8;180;9.6;284.55;276.85;59;50000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;7;;30;27;;98380.0;;;-930.0;;;;;;;;16.5;18.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;7.0;3;6200.0;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;8;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;11.400000000000034;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-02-27T19:00:00+01:00;102260;180.0;3;330;4.8;278.35;272.05;64;40000.0;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;7;;35;;;99310.0;;;430.0;276.95;;280.05;;;;;6.2;7.5;-10.0;1;0.0;;;0.0;-0.1;-0.1;7.4;14.2;;;;;1.0;6;1400.0;7.0;6;1700.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;5.2000000000000455;3.8000000000000114;;6.900000000000034;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-03-01T01:00:00+01:00;101860;-180.0;6;140;4.1;276.65;272.05;72;20000.0;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;5;;35;21;;98900.0;;;-480.0;;;;;;;;5.3;6.0;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;5.0;6;1860.0;7.0;3;4380.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;6;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;3.5;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-03-01T07:00:00+01:00;101730;-10.0;5;170;3.3;278.05;275.45;83;6000.0;61;Pluie;6;100.0;8;;35;;;98790.0;;;-520.0;275.85;;279.15;;;;;5.4;9.1;-10.0;1;0.0;;;0.2;1.6;1.8;1.8;1.8;;;;;1.0;6;540.0;8.0;6;840.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;5;Pluie;61;4.900000000000034;2.7000000000000455;;6.0;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-03-11T01:00:00+01:00;102650;-10.0;8;290;2.6;281.85;278.55;80;7500.0;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;60.0;5;;30;25;10;99730.0;;;30.0;;;;;;;;3.6;3.6;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;3;4300.0;5.0;3;5800.0;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;8;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3;8.700000000000045;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-03-13T16:00:00+01:00;101810;-130.0;7;330;4.8;285.75;274.75;47;20000.0;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;1;;35;23;17;98950.0;;;-310.0;;;;;;;;6.6;7.1;-10.0;0;0.0;;;0.0;0.0;0.0;0.0;0.0;;;;;1.0;6;1400.0;3.0;3;4500.0;8.0;2;6000.0;;;;45.7265,5.077833;LYON-ST EXUPERY;7;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3;12.600000000000023;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
07481;2015-04-14T02:00:00+02:00;102990;20.0;2;280;1.2;285.35;278.55;63;50000.0;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0.0;0;;30;20;10;100090.0;;;20.0;;;;;;;;1.7;1.9;-10.0;0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;45.7265,5.077833;LYON-ST EXUPERY;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2;12.200000000000045;;;;;;235;5.077833;45.7265;Colombier-Saugnieu;69299;CC de l'Est Lyonnais (CCEL);246900575;Rhône;69;Auvergne-Rhône-Alpes;84
